kollektiv	6
bisherig	6
Randgebiet	6
verschärfen	6
Linie	6
Spekulation	6
Fremdenverkehr	6
Radio	6
Herstellung	6
22,23	6
Volke	6
religiös	6
menschenwürdig	6
Aufstieg	6
stetig	6
Arbeitsbeschaffung	6
Teil	6
betrachten	6
Überzeugung	6
erklären	6
Kleinhandel	6
Organ	6
werktätig	6
Kreditinstitut	6
nationalisiert	6
Angenomma	5
harmonisch	5
gegeben	5
erblicken	5
vollziehen	5
Industrialisierung	5
Unsicherheit	5
Vorteil	5
häufen	5
grösst	5
Heimat	5
Überlegenheit	5
Klein	5
Mangel	5
untrennbar	5
Kartell	5
Syndikat	5
aufkommen	5
Bundesstaat	5
fast	5
ungeheuer	5
Imperialismus	5
Grossmächt	5
Weltkrieg	5
Schwierigkeit	5
angehörige	5
fallen	5
Abgabe	5
Produzent	5
Selbständigkeit	5
stet	5
gefährden	5
können	5
Aktion	5
Teilnahme	5
Aufklärung	5
befähigen	5
Eroberung	5
bewusst	5
Angriff	5
ersetzen	5
Periode	5
Aufrechterhaltung	5
Versuch	5
Revolution	5
organisatorisch	5
Produktionsprozess	5
herabsetzen	5
Erholung	5
grös	5
verurteilen	5
beruhend	5
Herrschaftsverhältnis	5
Betätigung	5
Prostitution	5
Parteiprogramm	5
Personal	5
Erleichterung	5
friedlich	5
IV.	5
Preispolitik	5
Überwachung	5
Finanz	5
Währungspolitik	5
Grundstück	5
Hochschule	5
Krankenversicherung	5
Strafvollzug	5
Untersuchung	5
12.	5
Jugendpolitik	5
wohnen	5
Landwirtschaftspolitik	5
Kommunalpolitik	5
erfolgreich	5
menschengerecht	5
Entlassung	5
Entfaltungsmöglichkeit	5
Schaden	5
Geld	5
entscheiden	5
verteilen	5
Allgemeinheit	5
zunehmend	5
anonym	5
zugunsten	5
Kenntnis	5
Export	5
Faktor	5
drohen	5
arm	5
mitwirken	5
grundlegend	5
betroffener	5
Koordination	5
umfasst	5
Eingliederung	5
beteiligen	5
ausdehnen	5
lehnen	5
Sprache	5
Standpunkt	5
überall	5
bekennen	5
orientieren	5
ökologisch	5
Aktivität	5
lokal	5
Gruppe	5
Anliegen	5
eng	5
Kontakt	5
öffnen	5
organisieren	5
Jahrzehnt	5
Weiterbildung	5
z.	5
B.	5
sehen	5
Region	5
lenken	5
bestimmt	5
Steuerhinterziehung	5
unterbinden	5
überlassen	5
Haushalt	5
Kreis	5
Erreichung	5
beitragen	5
heranziehen	5
Sozial	5
Individuum	5
bedürfen	5
Stelle	5
Selbsthilfe	5
gegenwärtig	5
angehören	5
kranke	5
fruchtbar	5
Grundeigentum	5
beruflich	5
Arbeitsbedingung	5
Arbeitgeber	5
rein	5
tief	5
Erwachsenenbildung	5
erfolgen	5
Atomwaffe	5
bereit	5
Milizarmee	5
Rechnung	5
private	5
50,51	5
Widerspruch	5
erzeugen	5
Stand	5
11.	5
Stunde	5
wirthschaftlich	5
Arbeitsmittel	5
massgebend	5
Aussenhandelspolitik	5
Gewerbetreibende	5
d	5
Bedrohung	5
sozial-demokratisch	5
Dauerkrise	5
Front	5
Händler	5
leiten	5
Entschuldung	5
Direktorium	5
Volkswirtschaftsdirektion	5
Aussenhandel	5
Bern	4
Kulturstuf	4
hierzu	4
Privatbesitz	4
Klassenkämpf	4
stützen	4
tiefgreifend	4
durchgemachen	4
Industrieland	4
Erschütterung	4
Weltmarkt	4
anwachsen	4
Monopolisierung	4
Gegenstand	4
drückend	4
gering	4
ehrlich	4
vermehren	4
um	4
rückständig	4
ungenügend	4
physisch	4
begegnen	4
besitzend	4
Lohnarbeit	4
Planlosigkeit	4
Anarchie	4
periodisch	4
erschüttern	4
Geissel	4
einerseits	4
Umwälzung	4
meister	4
formal	4
19.	4
aufheben	4
Ausübung	4
ferner	4
Ausnutzung	4
zudem	4
sobald	4
Verkürzung	4
Erhöhung	4
breit	4
Proletarier	4
Invalidität	4
Demonstration	4
Wesen	4
Ergänzung	4
Verelendung	4
Arbeitsvertrag	4
eingreifen	4
gewinnen	4
Kommunalisierung	4
Prozess	4
erleichtern	4
Anstrengung	4
Erfahrung	4
lang	4
erwerben	4
allmählich	4
Streben	4
Gütererzeugung	4
annehmen	4
Klassengegensätze	4
Erringung	4
wahr	4
nützlich	4
Einbezug	4
anwenden	4
Manne	4
ungehindert	4
bloss	4
Erscheinung	4
Erlösung	4
Einbürgerung	4
Vereinheitlichung	4
Landesverteidigung	4
Parteigenosse	4
Zivildienst	4
Einfuhr	4
Wasserkraft	4
Versicherungsgesellschaft	4
V.	4
Nationalbank	4
Grös	4
Betrag	4
VI	4
Autonomie	4
Anerkennung	4
Mitspracherecht	4
VII	4
Gewährung	4
energisch	4
Unentgeltlichkeit	4
Unterricht	4
Stufe	4
Fortbildungsschule	4
Vermehrung	4
Erstellung	4
Humane	4
Fabrikgesetz	4
weiblich	4
systematisch	4
Arbeitsmarkt	4
Richter	4
SPS	4
betreffend	4
Stück	4
ordentlich	4
14.	4
Amt	4
Arbeitsform	4
Konsumentenpolitik	4
Entwicklungspolitik	4
Entfremdung	4
langfristig	4
vertreten	4
Million	4
Gefühl	4
passiv	4
verringern	4
zeigen	4
negativ	4
bescheren	4
Machtballung	4
dienstbar	4
Reaktion	4
wahrnehmen	4
dezentralisiert	4
Willensbildung	4
Hinsicht	4
abhängig	4
wenden	4
Erklärung	4
europäisch	4
prägen	4
Demokratisierung	4
Rahmenbedingung	4
unterschiedlich	4
Anfang	4
solange	4
Abstimmung	4
vertiefen	4
beginnen	4
Wohn	4
günstig	4
überschaubar	4
Vorbedingung	4
Arbeitseinkomm	4
beschäftigter	4
Verein	4
usw.	4
kontrollieren	4
sprachlich	4
uneingeschränkt	4
selber	4
Rahmenplanung	4
Dezentralisierung	4
real	4
kommunistisch	4
Ökologie	4
privatkapitalistisch	4
voraus	4
Quartier	4
Bürgerinitiative	4
erringen	4
reduzieren	4
Mandatsträger	4
wählen	4
Verpflichtung	4
Friedensbewegung	4
Bekenntnis	4
Verständigung	4
angepasst	4
einzig	4
steigen	4
Ferien	4
Wunsch	4
genügen	4
Gesamtheit	4
Gewerbefreiheit	4
produzieren	4
berücksichtigen	4
Raumplanung	4
Finanzgesellschaft	4
Kapitalflucht	4
mächtig	4
Steuerflucht	4
Verbrauch	4
Unfall	4
Deckung	4
Mutterschaftsversicherung	4
Arbeitsrecht	4
Dienstleistung	4
Mieter	4
Kündigungsschutz	4
Rücksichtnahme	4
Jugendarbeit	4
entgegenwirken	4
verdrängen	4
Agrarpolitik	4
fähig	4
Verschuldung	4
Berggebiet	4
ländlich	4
Unterschied	4
prüfen	4
bewahren	4
Bodenpolitik	4
Kulturpolitik	4
fortschrittlich	4
Einwohner	4
Schuld	4
Individualverkehr	4
volkswirtschaftlich	4
Gesundheitswesen	4
Vorrang	4
einräumen	4
Energiepolitik	4
Fernsehen	4
zugänglich	4
kritisch	4
Geltung	4
Werbung	4
Überschuldung	4
medizinisch	4
Berücksichtigung	4
streng	4
kennen	4
Sicherheitspolitik	4
44,45	4
39,40	4
34,35	4
Polizei	4
Umgestaltung	4
besonder	4
Lohnarbeiter	4
15.	4
16.	4
Monopol	4
Vollendung	4
monopolistisch	4
Verkehrsmittel	4
entwickelt	4
moralisch	4
Lebensjahre	4
Änderung	4
zweckmässig	4
koordinieren	4
Kredit	4
Kreditpolitik	4
Wirtschaftszweig	4
Ergebnis	4
e	4
schliessen	4
Lebensbedürfnisse	4
